Notes	County	County Code	Year	Year Code	Drug/Alcohol Induced Cause	Drug/Alcohol Induced Cause Code	Deaths
	Autauga County, AL	1001	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	448.0
	Baldwin County, AL	1003	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	19.0
	Baldwin County, AL	1003	2008.0	2008.0	All other alcohol-induced causes	A9	12.0
	Baldwin County, AL	1003	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1644.0
	Barbour County, AL	1005	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	234.0
	Bibb County, AL	1007	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	239.0
	Blount County, AL	1009	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	15.0
	Blount County, AL	1009	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	543.0
	Bullock County, AL	1011	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	110.0
	Butler County, AL	1013	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	274.0
	Calhoun County, AL	1015	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	17.0
	Calhoun County, AL	1015	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1294.0
	Chambers County, AL	1017	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	436.0
	Cherokee County, AL	1019	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	317.0
	Chilton County, AL	1021	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	440.0
	Choctaw County, AL	1023	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	157.0
	Clarke County, AL	1025	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	248.0
	Clay County, AL	1027	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	170.0
	Cleburne County, AL	1029	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	157.0
	Coffee County, AL	1031	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	479.0
	Colbert County, AL	1033	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	652.0
	Conecuh County, AL	1035	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	151.0
	Coosa County, AL	1037	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	123.0
	Covington County, AL	1039	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	489.0
	Crenshaw County, AL	1041	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	207.0
	Cullman County, AL	1043	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	10.0
	Cullman County, AL	1043	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	950.0
	Dale County, AL	1045	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	440.0
	Dallas County, AL	1047	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	553.0
	DeKalb County, AL	1049	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	701.0
	Elmore County, AL	1051	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	635.0
	Escambia County, AL	1053	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	413.0
	Etowah County, AL	1055	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	16.0
	Etowah County, AL	1055	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1367.0
	Fayette County, AL	1057	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	222.0
	Franklin County, AL	1059	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	403.0
	Geneva County, AL	1061	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	287.0
	Greene County, AL	1063	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	111.0
	Hale County, AL	1065	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	216.0
	Henry County, AL	1067	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	214.0
	Houston County, AL	1069	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	12.0
	Houston County, AL	1069	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	933.0
	Jackson County, AL	1071	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	639.0
	Jefferson County, AL	1073	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	63.0
	Jefferson County, AL	1073	2008.0	2008.0	All other drug-induced causes	D9	20.0
	Jefferson County, AL	1073	2008.0	2008.0	All other alcohol-induced causes	A9	41.0
	Jefferson County, AL	1073	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	7021.0
	Lamar County, AL	1075	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	191.0
	Lauderdale County, AL	1077	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	16.0
	Lauderdale County, AL	1077	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	971.0
	Lawrence County, AL	1079	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	362.0
	Lee County, AL	1081	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	833.0
	Limestone County, AL	1083	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	10.0
	Limestone County, AL	1083	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	623.0
	Lowndes County, AL	1085	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	127.0
	Macon County, AL	1087	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	244.0
	Madison County, AL	1089	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	20.0
	Madison County, AL	1089	2008.0	2008.0	All other alcohol-induced causes	A9	10.0
	Madison County, AL	1089	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	2456.0
	Marengo County, AL	1091	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	249.0
	Marion County, AL	1093	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	436.0
	Marshall County, AL	1095	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1019.0
	Mobile County, AL	1097	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	49.0
	Mobile County, AL	1097	2008.0	2008.0	All other alcohol-induced causes	A9	29.0
	Mobile County, AL	1097	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	3964.0
	Monroe County, AL	1099	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	259.0
	Montgomery County, AL	1101	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	2030.0
	Morgan County, AL	1103	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	17.0
	Morgan County, AL	1103	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1165.0
	Perry County, AL	1105	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	134.0
	Pickens County, AL	1107	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	222.0
	Pike County, AL	1109	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	305.0
	Randolph County, AL	1111	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	291.0
	Russell County, AL	1113	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	584.0
	St. Clair County, AL	1115	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	748.0
	Shelby County, AL	1117	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	34.0
	Shelby County, AL	1117	2008.0	2008.0	All other alcohol-induced causes	A9	11.0
	Shelby County, AL	1117	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1052.0
	Sumter County, AL	1119	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	152.0
	Talladega County, AL	1121	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	939.0
	Tallapoosa County, AL	1123	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	526.0
	Tuscaloosa County, AL	1125	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	31.0
	Tuscaloosa County, AL	1125	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	1511.0
	Walker County, AL	1127	2008.0	2008.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	32.0
	Walker County, AL	1127	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	872.0
	Washington County, AL	1129	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	162.0
	Wilcox County, AL	1131	2008.0	2008.0	All other non-drug and non-alcohol causes	O9	140.0
