Notes	County	County Code	Year	Year Code	Drug/Alcohol Induced Cause	Drug/Alcohol Induced Cause Code	Deaths
	Autauga County, AL	1001	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	449.0
	Baldwin County, AL	1003	2006.0	2006.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	11.0
	Baldwin County, AL	1003	2006.0	2006.0	All other alcohol-induced causes	A9	15.0
	Baldwin County, AL	1003	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	1613.0
	Barbour County, AL	1005	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	284.0
	Bibb County, AL	1007	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	221.0
	Blount County, AL	1009	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	526.0
	Bullock County, AL	1011	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	142.0
	Butler County, AL	1013	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	271.0
	Calhoun County, AL	1015	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	1310.0
	Chambers County, AL	1017	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	439.0
	Cherokee County, AL	1019	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	270.0
	Chilton County, AL	1021	2006.0	2006.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	13.0
	Chilton County, AL	1021	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	451.0
	Choctaw County, AL	1023	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	180.0
	Clarke County, AL	1025	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	265.0
	Clay County, AL	1027	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	173.0
	Cleburne County, AL	1029	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	136.0
	Coffee County, AL	1031	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	463.0
	Colbert County, AL	1033	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	637.0
	Conecuh County, AL	1035	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	148.0
	Coosa County, AL	1037	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	138.0
	Covington County, AL	1039	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	504.0
	Crenshaw County, AL	1041	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	169.0
	Cullman County, AL	1043	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	906.0
	Dale County, AL	1045	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	453.0
	Dallas County, AL	1047	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	593.0
	DeKalb County, AL	1049	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	715.0
	Elmore County, AL	1051	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	621.0
	Escambia County, AL	1053	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	369.0
	Etowah County, AL	1055	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	1369.0
	Fayette County, AL	1057	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	244.0
	Franklin County, AL	1059	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	348.0
	Geneva County, AL	1061	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	339.0
	Greene County, AL	1063	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	113.0
	Hale County, AL	1065	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	137.0
	Henry County, AL	1067	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	223.0
	Houston County, AL	1069	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	884.0
	Jackson County, AL	1071	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	616.0
	Jefferson County, AL	1073	2006.0	2006.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	55.0
	Jefferson County, AL	1073	2006.0	2006.0	All other drug-induced causes	D9	31.0
	Jefferson County, AL	1073	2006.0	2006.0	All other alcohol-induced causes	A9	43.0
	Jefferson County, AL	1073	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	6967.0
	Lamar County, AL	1075	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	172.0
	Lauderdale County, AL	1077	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	953.0
	Lawrence County, AL	1079	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	353.0
	Lee County, AL	1081	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	781.0
	Limestone County, AL	1083	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	593.0
	Lowndes County, AL	1085	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	144.0
	Macon County, AL	1087	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	258.0
	Madison County, AL	1089	2006.0	2006.0	All other alcohol-induced causes	A9	16.0
	Madison County, AL	1089	2006.0	2006.0	All other non-drug and non-alcohol causes	O9	2338.0
