Notes	County	County Code	Year	Year Code	Drug/Alcohol Induced Cause	Drug/Alcohol Induced Cause Code	Deaths
	Autauga County, AL	1001	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	447.0
	Baldwin County, AL	1003	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	23.0
	Baldwin County, AL	1003	2011.0	2011.0	All other alcohol-induced causes	A9	16.0
	Baldwin County, AL	1003	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1811.0
	Barbour County, AL	1005	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	297.0
	Bibb County, AL	1007	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	246.0
	Blount County, AL	1009	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	584.0
	Bullock County, AL	1011	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	114.0
	Butler County, AL	1013	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	273.0
	Calhoun County, AL	1015	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	12.0
	Calhoun County, AL	1015	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1322.0
	Chambers County, AL	1017	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	437.0
	Cherokee County, AL	1019	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	328.0
	Chilton County, AL	1021	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	480.0
	Choctaw County, AL	1023	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	144.0
	Clarke County, AL	1025	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	290.0
	Clay County, AL	1027	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	229.0
	Cleburne County, AL	1029	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	157.0
	Coffee County, AL	1031	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	477.0
	Colbert County, AL	1033	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	662.0
	Conecuh County, AL	1035	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	179.0
	Coosa County, AL	1037	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	151.0
	Covington County, AL	1039	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	474.0
	Crenshaw County, AL	1041	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	161.0
	Cullman County, AL	1043	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	10.0
	Cullman County, AL	1043	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	929.0
	Dale County, AL	1045	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	452.0
	Dallas County, AL	1047	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	505.0
	DeKalb County, AL	1049	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	11.0
	DeKalb County, AL	1049	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	722.0
	Elmore County, AL	1051	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	630.0
	Escambia County, AL	1053	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	433.0
	Etowah County, AL	1055	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	14.0
	Etowah County, AL	1055	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1345.0
	Fayette County, AL	1057	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	260.0
	Franklin County, AL	1059	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	403.0
	Geneva County, AL	1061	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	341.0
	Greene County, AL	1063	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	112.0
	Hale County, AL	1065	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	196.0
	Henry County, AL	1067	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	227.0
	Houston County, AL	1069	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	12.0
	Houston County, AL	1069	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	954.0
	Jackson County, AL	1071	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	684.0
	Jefferson County, AL	1073	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	73.0
	Jefferson County, AL	1073	2011.0	2011.0	All other drug-induced causes	D9	36.0
	Jefferson County, AL	1073	2011.0	2011.0	All other alcohol-induced causes	A9	35.0
	Jefferson County, AL	1073	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	6689.0
	Lamar County, AL	1075	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	177.0
	Lauderdale County, AL	1077	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	12.0
	Lauderdale County, AL	1077	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1065.0
	Lawrence County, AL	1079	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	414.0
	Lee County, AL	1081	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	817.0
	Limestone County, AL	1083	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	692.0
	Lowndes County, AL	1085	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	140.0
	Macon County, AL	1087	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	239.0
	Madison County, AL	1089	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	25.0
	Madison County, AL	1089	2011.0	2011.0	All other alcohol-induced causes	A9	11.0
	Madison County, AL	1089	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	2557.0
	Marengo County, AL	1091	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	250.0
	Marion County, AL	1093	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	438.0
	Marshall County, AL	1095	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1033.0
	Mobile County, AL	1097	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	43.0
	Mobile County, AL	1097	2011.0	2011.0	All other alcohol-induced causes	A9	22.0
	Mobile County, AL	1097	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	4055.0
	Monroe County, AL	1099	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	256.0
	Montgomery County, AL	1101	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1946.0
	Morgan County, AL	1103	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	14.0
	Morgan County, AL	1103	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1169.0
	Perry County, AL	1105	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	146.0
	Pickens County, AL	1107	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	258.0
	Pike County, AL	1109	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	303.0
	Randolph County, AL	1111	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	282.0
	Russell County, AL	1113	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	563.0
	St. Clair County, AL	1115	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	14.0
	St. Clair County, AL	1115	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	789.0
	Shelby County, AL	1117	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	25.0
	Shelby County, AL	1117	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1256.0
	Sumter County, AL	1119	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	158.0
	Talladega County, AL	1121	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	953.0
	Tallapoosa County, AL	1123	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	503.0
	Tuscaloosa County, AL	1125	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	21.0
	Tuscaloosa County, AL	1125	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	1656.0
	Walker County, AL	1127	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	35.0
	Walker County, AL	1127	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	953.0
	Washington County, AL	1129	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	174.0
	Wilcox County, AL	1131	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	156.0
	Winston County, AL	1133	2011.0	2011.0	All other non-drug and non-alcohol causes	O9	284.0
	Anchorage Borough, AK	2020	2011.0	2011.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	47.0
