Notes	County	County Code	Year	Year Code	Drug/Alcohol Induced Cause	Drug/Alcohol Induced Cause Code	Deaths
	Autauga County, AL	1001	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	447.0
	Baldwin County, AL	1003	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	14.0
	Baldwin County, AL	1003	2005.0	2005.0	All other alcohol-induced causes	A9	19.0
	Baldwin County, AL	1003	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1534.0
	Barbour County, AL	1005	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	326.0
	Bibb County, AL	1007	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	233.0
	Blount County, AL	1009	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	527.0
	Bullock County, AL	1011	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	138.0
	Butler County, AL	1013	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	290.0
	Calhoun County, AL	1015	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1365.0
	Chambers County, AL	1017	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	489.0
	Cherokee County, AL	1019	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	285.0
	Chilton County, AL	1021	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	438.0
	Choctaw County, AL	1023	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	167.0
	Clarke County, AL	1025	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	294.0
	Clay County, AL	1027	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	188.0
	Cleburne County, AL	1029	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	165.0
	Coffee County, AL	1031	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	474.0
	Colbert County, AL	1033	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	656.0
	Conecuh County, AL	1035	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	170.0
	Coosa County, AL	1037	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	142.0
	Covington County, AL	1039	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	544.0
	Crenshaw County, AL	1041	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	168.0
	Cullman County, AL	1043	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	904.0
	Dale County, AL	1045	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	447.0
	Dallas County, AL	1047	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	550.0
	DeKalb County, AL	1049	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	722.0
	Elmore County, AL	1051	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	601.0
	Escambia County, AL	1053	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	451.0
	Etowah County, AL	1055	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1369.0
	Fayette County, AL	1057	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	201.0
	Franklin County, AL	1059	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	366.0
	Geneva County, AL	1061	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	347.0
	Greene County, AL	1063	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	100.0
	Hale County, AL	1065	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	189.0
	Henry County, AL	1067	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	218.0
	Houston County, AL	1069	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	920.0
	Jackson County, AL	1071	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	595.0
	Jefferson County, AL	1073	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	41.0
	Jefferson County, AL	1073	2005.0	2005.0	All other drug-induced causes	D9	18.0
	Jefferson County, AL	1073	2005.0	2005.0	All other alcohol-induced causes	A9	53.0
	Jefferson County, AL	1073	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	7057.0
	Lamar County, AL	1075	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	180.0
	Lauderdale County, AL	1077	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	931.0
	Lawrence County, AL	1079	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	372.0
	Lee County, AL	1081	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	823.0
	Limestone County, AL	1083	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	635.0
	Lowndes County, AL	1085	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	159.0
	Macon County, AL	1087	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	303.0
	Madison County, AL	1089	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	13.0
	Madison County, AL	1089	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	2300.0
	Marengo County, AL	1091	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	252.0
	Marion County, AL	1093	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	383.0
	Marshall County, AL	1095	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	978.0
	Mobile County, AL	1097	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	22.0
	Mobile County, AL	1097	2005.0	2005.0	All other alcohol-induced causes	A9	30.0
	Mobile County, AL	1097	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	3955.0
	Monroe County, AL	1099	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	269.0
	Montgomery County, AL	1101	2005.0	2005.0	All other alcohol-induced causes	A9	15.0
	Montgomery County, AL	1101	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	2007.0
	Morgan County, AL	1103	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	10.0
	Morgan County, AL	1103	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1119.0
	Perry County, AL	1105	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	142.0
	Pickens County, AL	1107	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	256.0
	Pike County, AL	1109	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	337.0
	Randolph County, AL	1111	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	288.0
	Russell County, AL	1113	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	564.0
	St. Clair County, AL	1115	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	691.0
	Shelby County, AL	1117	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1016.0
	Sumter County, AL	1119	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	132.0
	Talladega County, AL	1121	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	827.0
	Tallapoosa County, AL	1123	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	531.0
	Tuscaloosa County, AL	1125	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	10.0
	Tuscaloosa County, AL	1125	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1467.0
	Walker County, AL	1127	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	11.0
	Walker County, AL	1127	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	934.0
	Washington County, AL	1129	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	157.0
	Wilcox County, AL	1131	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	136.0
	Winston County, AL	1133	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	282.0
	Aleutians East Borough, AK	2013	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	15.0
	Aleutians West Census Area, AK	2016	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	15.0
	Anchorage Borough, AK	2020	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	28.0
	Anchorage Borough, AK	2020	2005.0	2005.0	All other alcohol-induced causes	A9	38.0
	Anchorage Borough, AK	2020	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	1170.0
	Bethel Census Area, AK	2050	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	101.0
	Dillingham Census Area, AK	2070	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	22.0
	Fairbanks North Star Borough, AK	2090	2005.0	2005.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	11.0
	Fairbanks North Star Borough, AK	2090	2005.0	2005.0	All other alcohol-induced causes	A9	11.0
	Fairbanks North Star Borough, AK	2090	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	315.0
	Haines Borough, AK	2100	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	16.0
	Juneau Borough, AK	2110	2005.0	2005.0	All other non-drug and non-alcohol causes	O9	117.0
