Notes	County	County Code	Year	Year Code	Drug/Alcohol Induced Cause	Drug/Alcohol Induced Cause Code	Deaths
	Autauga County, AL	1001	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	526.0
	Baldwin County, AL	1003	2013.0	2013.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	20.0
	Baldwin County, AL	1003	2013.0	2013.0	All other alcohol-induced causes	A9	14.0
	Baldwin County, AL	1003	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	1934.0
	Barbour County, AL	1005	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	273.0
	Bibb County, AL	1007	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	240.0
	Blount County, AL	1009	2013.0	2013.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	10.0
	Blount County, AL	1009	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	542.0
	Bullock County, AL	1011	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	119.0
	Butler County, AL	1013	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	246.0
	Calhoun County, AL	1015	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	1389.0
	Chambers County, AL	1017	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	446.0
	Cherokee County, AL	1019	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	324.0
	Chilton County, AL	1021	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	506.0
	Choctaw County, AL	1023	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	187.0
	Clarke County, AL	1025	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	287.0
	Clay County, AL	1027	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	164.0
	Cleburne County, AL	1029	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	188.0
	Coffee County, AL	1031	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	461.0
	Colbert County, AL	1033	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	698.0
	Conecuh County, AL	1035	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	159.0
	Coosa County, AL	1037	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	132.0
	Covington County, AL	1039	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	501.0
	Crenshaw County, AL	1041	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	169.0
	Cullman County, AL	1043	2013.0	2013.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	16.0
	Cullman County, AL	1043	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	939.0
	Dale County, AL	1045	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	490.0
	Dallas County, AL	1047	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	519.0
	DeKalb County, AL	1049	2013.0	2013.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	20.0
	DeKalb County, AL	1049	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	750.0
	Elmore County, AL	1051	2013.0	2013.0	All other non-drug and non-alcohol causes	O9	761.0
	Escambia County, AL	1053	2013.0	2013.0	Drug poisonings (overdose) Undetermined (Y10-Y14)	D4	12.0
